s,ADC 0,ADC 1
-0.0598,0.004431,0.004126
-0.0596,0.004349,0.004228
-0.0594,0.004355,0.00433
-0.0592,0.00433,0.004463
-0.059,0.00433,0.004171
-0.0588,0.004368,0.004101
-0.0586,0.004571,0.004228
-0.0584,0.004463,0.004075
-0.0582,0.004431,0.004183
-0.058,0.004412,0.004133
-0.0578,0.00459,0.00412
-0.0576,0.00433,0.004247
-0.0574,0.004431,0.003948
-0.0572,0.004406,0.004069
-0.057,0.004476,0.004133
-0.0568,0.004571,0.004133
-0.0566,0.004368,0.004075
-0.0564,0.004616,0.004063
-0.0562,0.004495,0.004145
-0.056,0.004387,0.004088
-0.0558,0.004196,0.004005
-0.0556,0.004336,0.004145
-0.0554,0.004412,0.004025
-0.0552,0.0044,0.004241
-0.055,0.004686,0.00426
-0.0548,0.004374,0.004031
-0.0546,0.004311,0.004031
-0.0544,0.004323,0.004266
-0.0542,0.00445,0.00398
-0.054,0.004597,0.00419
-0.0538,0.00433,0.004317
-0.0536,0.004533,0.004177
-0.0534,0.004381,0.00419
-0.0532,0.004393,0.004171
-0.053,0.004495,0.00419
-0.0528,0.004412,0.004234
-0.0526,0.004648,0.004069
-0.0524,0.004323,0.004152
-0.0522,0.004514,0.004069
-0.052,0.004533,0.00419
-0.0518,0.004304,0.004222
-0.0516,0.004539,0.004222
-0.0514,0.004476,0.003897
-0.0512,0.004686,0.004107
-0.051,0.004431,0.004082
-0.0508,0.004387,0.004152
-0.0506,0.004457,0.003916
-0.0504,0.004266,0.004215
-0.0502,0.00433,0.004209
-0.05,0.00452,0.003999
-0.0498,0.004527,0.00405
-0.0496,0.004361,0.00412
-0.0494,0.004578,0.004031
-0.0492,0.004508,0.004234
-0.049,0.004406,0.004241
-0.0488,0.00452,0.004044
-0.0486,0.004425,0.004209
-0.0484,0.004381,0.004101
-0.0482,0.004355,0.004247
-0.048,0.004412,0.004234
-0.0478,0.004501,0.004203
-0.0476,0.004431,0.004171
-0.0474,0.00447,0.004336
-0.0472,0.004501,0.004114
-0.047,0.004196,0.004215
-0.0468,0.00426,0.004349
-0.0466,0.00445,0.004304
-0.0464,0.004393,0.004018
-0.0462,0.004412,0.004094
-0.046,0.00445,0.004044
-0.0458,0.004431,0.004037
-0.0456,0.004355,0.00398
-0.0454,0.004304,0.004209
-0.0452,0.004374,0.004196
-0.045,0.004361,0.004114
-0.0448,0.004463,0.004152
-0.0446,0.00447,0.004152
-0.0444,0.00452,0.004203
-0.0442,0.004311,0.004152
-0.044,0.004393,0.00426
-0.0438,0.004616,0.004183
-0.0436,0.004387,0.004171
-0.0434,0.004597,0.003967
-0.0432,0.004311,0.004272
-0.043,0.004203,0.004209
-0.0428,0.004565,0.00419
-0.0426,0.00433,0.003999
-0.0424,0.004457,0.003986
-0.0422,0.004412,0.004241
-0.042,0.004342,0.004177
-0.0418,0.004406,0.00426
-0.0416,0.004571,0.004209
-0.0414,0.004381,0.004183
-0.0412,0.004546,0.004037
-0.041,0.004393,0.00419
-0.0408,0.004215,0.004088
