"Frame state"	"1 Channel 1"	"2 Channel 2"	"3 Channel 3"	"4 Channel 4"	"5 Channel 5"	"6 Channel 6"
4	0.0094604492	0.0061035156	1.2783813	0.0033569336	0.0044250488	0.0032043457
2	0.0076293945	0.005645752	1.0704041	0.0038146973	0.0038146973	0.0030517578
7	0.010223389	0.0061035156	1.6137695	0.0039672852	0.0050354004	0.0032043457
3	0.0088500977	0.0057983398	1.0256958	0.0038146973	0.0045776367	0.0033569336
1	0.0073242188	0.0048828125	0.9828186	0.004119873	0.0047302246	0.0032043457
6	0.010681152	0.007019043	1.5289307	0.0035095215	0.0048828125	0.0035095215
5	0.010681152	0.0067138672	1.3386536	0.0036621094	0.0042724609	0.0036621094
1	0.0077819824	0.0042724609	0.90087891	0.0038146973	0.0042724609	0.0032043457
5	0.0094604492	0.0057983398	1.2782288	0.0039672852	0.004119873	0.0032043457
4	0.0079345703	0.0059509277	1.1865234	0.004119873	0.004119873	0.0038146973
3	0.0090026855	0.0048828125	1.0934448	0.0033569336	0.0047302246	0.0036621094
2	0.0082397461	0.0048828125	1.0523987	0.0036621094	0.0045776367	0.0033569336
6	0.0096130371	0.0059509277	2.1636963	0.0047302246	0.0050354004	0.0038146973
7	0.01159668	0.0067138672	2.0843506	0.0035095215	0.0042724609	0.11184692
7	0.010528564	0.0077819824	1.5565491	0.004119873	0.0048828125	0.0033569336
1	0.0067138672	0.0062561035	0.93719482	0.0033569336	0.0047302246	0.0036621094
6	0.010681152	0.0059509277	1.4263916	0.0033569336	0.0047302246	0.0033569336
3	0.0088500977	0.0057983398	1.0353088	0.0038146973	0.0042724609	0.0032043457
4	0.0090026855	0.0053405762	1.2586975	0.0033569336	0.0053405762	0.0028991699
5	0.010070801	0.0054931641	1.3241577	0.004119873	0.0047302246	0.0030517578
2	0.0079345703	0.0048828125	0.93536377	0.0038146973	0.004119873	0.0032043457
3	0.0085449219	0.005645752	1.0595703	0.0038146973	0.004119873	0.0030517578
2	0.0086975098	0.0050354004	0.93704224	0.0036621094	0.0047302246	0.0028991699
5	0.009765625	0.0061035156	1.3331604	0.0036621094	0.0045776367	0.0030517578
7	0.011291504	0.0073242188	1.6975403	0.0045776367	0.0053405762	0.0039672852
1	0.0067138672	0.0039672852	0.9211731	0.0036621094	0.0042724609	0.0032043457
4	0.0094604492	0.0059509277	1.1375427	0.0033569336	0.0047302246	0.0032043457
6	0.010528564	0.0057983398	1.4408875	0.0038146973	0.0050354004	0.004119873
6	0.010986328	0.0061035156	1.4884949	0.0039672852	0.0051879883	0.0028991699
2	0.0080871582	0.0057983398	1.0656738	0.0038146973	0.0044250488	0.0030517578
4	0.0086975098	0.0050354004	1.2484741	0.004119873	0.0045776367	0.0039672852
1	0.0076293945	0.0048828125	0.89706421	0.0036621094	0.004119873	0.0032043457
5	0.0096130371	0.0057983398	1.3009644	0.0038146973	0.0050354004	0.0038146973
3	0.008392334	0.0059509277	1.040802	0.0035095215	0.0042724609	0.0032043457
7	0.011291504	0.0079345703	1.6163635	0.0039672852	0.0045776367	0.0045776367
2	0.0074768066	0.0059509277	1.0801697	0.0033569336	0.004119873	0.0032043457
1	0.0065612793	0.0050354004	0.8895874	0.004119873	0.0051879883	0.0028991699
6	0.0096130371	0.0048828125	1.4962769	0.0035095215	0.0042724609	0.0032043457
3	0.0077819824	0.0044250488	1.0189819	0.0039672852	0.0045776367	0.0035095215
4	0.0088500977	0.0074768066	1.2202454	0.0033569336	0.0047302246	0.0030517578
5	0.0094604492	0.0064086914	1.2753296	0.0042724609	0.0038146973	0.0030517578
7	0.011749268	0.0082397461	1.6183472	0.0038146973	0.0044250488	0.0039672852
4	0.0093078613	0.005645752	1.1289978	0.0035095215	0.0045776367	0.0035095215
7	0.011138916	0.0074768066	1.5734863	0.0044250488	0.0047302246	0.0033569336
3	0.0068664551	0.0051879883	1.0891724	0.0039672852	0.0045776367	0.0033569336
1	0.007019043	0.0038146973	0.89736938	0.0038146973	0.004119873	0.0032043457
6	0.0096130371	0.0077819824	1.4286804	0.0039672852	0.0042724609	0.0030517578
2	0.0085449219	0.005645752	1.0336304	0.0035095215	0.0045776367	0.0030517578
5	0.008392334	0.0057983398	1.2811279	0.004119873	0.0047302246	0.0030517578
4	0.0090026855	0.0074768066	1.2454224	0.0039672852	0.0045776367	0.0030517578
3	0.0079345703	0.0064086914	1.0083008	0.0036621094	0.004119873	0.0032043457
7	0.010223389	0.0071716309	1.9589233	0.0042724609	0.0044250488	0.02456665
5	0.0094604492	0.0059509277	2.1751404	0.0036621094	0.0042724609	0.0038146973
6	0.010070801	0.007019043	2.1577454	0.0036621094	0.0045776367	0.0033569336
2	0.0079345703	0.004119873	1.2260437	0.0035095215	0.0045776367	0.0035095215
1	0.0067138672	0.0047302246	0.96282959	0.0035095215	0.0048828125	0.0033569336
7	0.010986328	0.0062561035	1.9474792	0.0035095215	0.0042724609	0.0036621094
4	0.0088500977	0.0048828125	1.4421082	0.0036621094	0.0047302246	0.0030517578
5	0.0093078613	0.007019043	1.4064026	0.0035095215	0.0047302246	0.0028991699
1	0.0064086914	0.0036621094	0.9765625	0.0038146973	0.0047302246	0.002746582
2	0.0071716309	0.0053405762	1.0679626	0.0039672852	0.0045776367	0.0030517578
6	0.0088500977	0.0067138672	1.6891479	0.0036621094	0.0044250488	0.0033569336
3	0.0082397461	0.0059509277	1.0359192	0.0033569336	0.0048828125	0.0035095215
7	0.010223389	0.0067138672	2.3347473	0.004119873	0.0053405762	0.0035095215
1	0.0061035156	0.0044250488	0.90072632	0.0033569336	0.0053405762	0.0032043457
5	0.0094604492	0.0061035156	1.3859558	0.0038146973	0.0048828125	0.004119873
3	0.0079345703	0.0065612793	1.1602783	0.0036621094	0.0045776367	0.0036621094
6	0.0099182129	0.0062561035	1.5312195	0.0036621094	0.004119873	0.0036621094
4	0.0090026855	0.0061035156	1.2161255	0.0035095215	0.0051879883	0.0028991699
2	0.007019043	0.005645752	0.92803955	0.0038146973	0.0047302246	0.0028991699
0	0.0038146973	0.0044250488	0.057525635	0.0035095215	0.004119873	0.002746582
0	0.0036621094	0.0039672852	0.080871582	0.0035095215	0.0044250488	0.0036621094
0	0.0038146973	0.0045776367	0.14663696	0.0035095215	0.0044250488	0.0030517578
0	0.0038146973	0.0039672852	0.090332031	0.0036621094	0.004119873	0.0032043457
0	0.0036621094	0.0039672852	0.074920654	0.0035095215	0.0042724609	0.002746582
