"s"	"ADC 0"	"ADC 1"
-0.06260000	0.004323	0.004056
-0.06240000	0.004387	0.004075
-0.06220000	0.004533	0.004114
-0.06200000	0.004412	0.004330
-0.06180000	0.004387	0.004145
-0.06160000	0.004457	0.004133
-0.06140000	0.004317	0.004107
-0.06120000	0.004412	0.004285
-0.06100000	0.004323	0.004304
-0.06080000	0.004234	0.003974
-0.06060000	0.004457	0.004190
-0.06040000	0.004292	0.004209
-0.06020000	0.004457	0.004285
-0.06000000	0.004381	0.004120
-0.05980000	0.004431	0.004126
-0.05960000	0.004349	0.004228
-0.05940000	0.004355	0.004330
-0.05920000	0.004330	0.004463
-0.05900000	0.004330	0.004171
-0.05880000	0.004368	0.004101
-0.05860000	0.004571	0.004228
-0.05840000	0.004463	0.004075
-0.05820000	0.004431	0.004183
-0.05800000	0.004412	0.004133
-0.05780000	0.004590	0.004120
-0.05760000	0.004330	0.004247
-0.05740000	0.004431	0.003948
-0.05720000	0.004406	0.004069
-0.05700000	0.004476	0.004133
-0.05680000	0.004571	0.004133
-0.05660000	0.004368	0.004075
-0.05640000	0.004616	0.004063
-0.05620000	0.004495	0.004145
-0.05600000	0.004387	0.004088
-0.05580000	0.004196	0.004005
-0.05560000	0.004336	0.004145
-0.05540000	0.004412	0.004025
-0.05520000	0.004400	0.004241
-0.05500000	0.004686	0.004260
-0.05480000	0.004374	0.004031
-0.05460000	0.004311	0.004031
-0.05440000	0.004323	0.004266
-0.05420000	0.004450	0.003980
-0.05400000	0.004597	0.004190
-0.05380000	0.004330	0.004317
-0.05360000	0.004533	0.004177
-0.05340000	0.004381	0.004190
-0.05320000	0.004393	0.004171
-0.05300000	0.004495	0.004190
-0.05280000	0.004412	0.004234
-0.05260000	0.004648	0.004069
-0.05240000	0.004323	0.004152
-0.05220000	0.004514	0.004069
-0.05200000	0.004533	0.004190
-0.05180000	0.004304	0.004222
-0.05160000	0.004539	0.004222
-0.05140000	0.004476	0.003897
-0.05120000	0.004686	0.004107
-0.05100000	0.004431	0.004082
-0.05080000	0.004387	0.004152
-0.05060000	0.004457	0.003916
-0.05040000	0.004266	0.004215
-0.05020000	0.004330	0.004209
-0.05000000	0.004520	0.003999
-0.04980000	0.004527	0.004050
-0.04960000	0.004361	0.004120
-0.04940000	0.004578	0.004031
-0.04920000	0.004508	0.004234
-0.04900000	0.004406	0.004241
-0.04880000	0.004520	0.004044
-0.04860000	0.004425	0.004209
-0.04840000	0.004381	0.004101
-0.04820000	0.004355	0.004247
-0.04800000	0.004412	0.004234
-0.04780000	0.004501	0.004203
-0.04760000	0.004431	0.004171
-0.04740000	0.004470	0.004336
-0.04720000	0.004501	0.004114
-0.04700000	0.004196	0.004215
-0.04680000	0.004260	0.004349
-0.04660000	0.004450	0.004304
-0.04640000	0.004393	0.004018
-0.04620000	0.004412	0.004094
-0.04600000	0.004450	0.004044
-0.04580000	0.004431	0.004037
-0.04560000	0.004355	0.003980
-0.04540000	0.004304	0.004209
-0.04520000	0.004374	0.004196
-0.04500000	0.004361	0.004114
-0.04480000	0.004463	0.004152
-0.04460000	0.004470	0.004152
-0.04440000	0.004520	0.004203
-0.04420000	0.004311	0.004152
-0.04400000	0.004393	0.004260
-0.04380000	0.004616	0.004183
-0.04360000	0.004387	0.004171
-0.04340000	0.004597	0.003967
-0.04320000	0.004311	0.004272
-0.04300000	0.004203	0.004209
-0.04280000	0.004565	0.004190
-0.04260000	0.004330	0.003999
-0.04240000	0.004457	0.003986
-0.04220000	0.004412	0.004241
-0.04200000	0.004342	0.004177
-0.04180000	0.004406	0.004260
-0.04160000	0.004571	0.004209
-0.04140000	0.004381	0.004183
-0.04120000	0.004546	0.004037
