Frame state,1 Channel 1,2 Channel 2,3 Channel 3,4 Channel 4,5 Channel 5,6 Channel 6,1 Channel 1,2 Channel 2,3 Channel 3,4 Channel 4,5 Channel 5,6 Channel 6
0,0.003814697,0.004425049,0.057525635,0.003509522,0.004119873,0.002746582,0.003753662,0.004180908,0.090057372,0.003540039,0.004272461,0.003082275
0,0.003662109,0.003967285,0.080871582,0.003509522,0.004425049,0.003662109,,,,,,
0,0.003814697,0.004577637,0.14663696,0.003509522,0.004425049,0.003051758,,,,,,
0,0.003814697,0.003967285,0.090332031,0.003662109,0.004119873,0.003204346,,,,,,
0,0.003662109,0.003967285,0.074920654,0.003509522,0.004272461,0.002746582,,,,,,
1,0.007324219,0.004882813,0.9828186,0.004119873,0.004730225,0.003204346,0.006896973,0.004592896,0.926620483,0.003723145,0.004638672,0.003189087
1,0.007781982,0.004272461,0.90087891,0.003814697,0.004272461,0.003204346,,,,,,
1,0.006713867,0.006256104,0.93719482,0.003356934,0.004730225,0.003662109,,,,,,
1,0.006713867,0.003967285,0.9211731,0.003662109,0.004272461,0.003204346,,,,,,
1,0.007629395,0.004882813,0.89706421,0.003662109,0.004119873,0.003204346,,,,,,
1,0.006561279,0.0050354,0.8895874,0.004119873,0.005187988,0.00289917,,,,,,
1,0.007019043,0.003814697,0.89736938,0.003814697,0.004119873,0.003204346,,,,,,
1,0.006713867,0.004730225,0.96282959,0.003509522,0.004882813,0.003356934,,,,,,
1,0.006408691,0.003662109,0.9765625,0.003814697,0.004730225,0.002746582,,,,,,
1,0.006103516,0.004425049,0.90072632,0.003356934,0.005340576,0.003204346,,,,,,
2,0.007629395,0.005645752,1.0704041,0.003814697,0.003814697,0.003051758,0.007873535,0.0052948,1.039672856,0.003692627,0.004425049,0.003128052
2,0.008239746,0.004882813,1.0523987,0.003662109,0.004577637,0.003356934,,,,,,
2,0.00793457,0.004882813,0.93536377,0.003814697,0.004119873,0.003204346,,,,,,
2,0.00869751,0.0050354,0.93704224,0.003662109,0.004730225,0.00289917,,,,,,
2,0.008087158,0.00579834,1.0656738,0.003814697,0.004425049,0.003051758,,,,,,
2,0.007476807,0.005950928,1.0801697,0.003356934,0.004119873,0.003204346,,,,,,
2,0.008544922,0.005645752,1.0336304,0.003509522,0.004577637,0.003051758,,,,,,
