time,Node01.ax,Node01.ay,Node01.az,Node01.mx,Node01.my,Node01.mz,Node01.gx,Node01.gy,Node01.gz,Node02.ax,Node02.ay,Node02.az,Node02.mx,Node02.my,Node02.mz,Node02.gx,Node02.gy,Node02.gz
0.3,0.94312,-0.098796,0.182092,41.877739,-6.463882,16.085634,-0.263953,0.047632,0.049653,0.935883,-0.138391,0.141518,45.306889,2.17475,-2.452266,-0.081208,0.047887,-0.008859
0.31,0.94312,-0.098983,0.182092,41.877739,-6.463882,16.085634,-0.124544,0.048223,0.119648,0.936629,-0.139918,0.142097,45.306889,2.17475,-2.452266,-0.141872,-0.074349,0.173953
0.32,0.944461,-0.099357,0.181904,41.804306,-6.295161,15.934338,-0.194606,0.048677,0.05025,0.938494,-0.141826,0.14287,45.157589,1.511369,-2.608358,-0.263647,-0.013757,0.051607
0.33,0.943886,-0.097674,0.180772,41.804306,-6.295161,15.934338,0.082233,0.257827,0.050156,0.938308,-0.141253,0.144607,45.157589,1.511369,-2.608358,-0.385424,-0.075218,-0.070463
0.34,0.943312,-0.096551,0.17964,41.584011,-6.379522,15.934338,0.080817,-0.020393,-0.019634,0.935883,-0.14049,0.147311,45.082939,2.091828,-2.608358,-0.38578,-0.075599,-0.253782
0.35,0.941205,-0.097112,0.179829,41.584011,-6.379522,15.934338,-0.128981,-0.08964,-0.019727,0.934018,-0.139918,0.14789,45.082939,2.091828,-2.608358,-0.020675,-0.014902,-0.192921
0.36,0.941971,-0.097674,0.180017,41.951172,-6.295161,16.236929,-0.060052,-0.228453,0.11905,0.933085,-0.13801,0.147697,45.082939,1.594291,-2.37422,0.283589,-0.13673,-0.193035
0.37,0.942929,-0.098422,0.180206,41.951172,-6.295161,16.236929,0.008879,-0.228274,0.188393,0.932526,-0.137819,0.146152,45.082939,1.594291,-2.37422,0.466301,-0.01455,-0.193285
0.38,0.942929,-0.098235,0.180583,41.877739,-6.379522,16.085634,0.147531,-0.089104,0.188302,0.933458,-0.137628,0.144414,45.157589,1.594291,-2.37422,0.466215,0.168707,-0.071582
0.39,0.943312,-0.097112,0.181526,41.877739,-6.379522,16.085634,0.077795,-0.089485,0.119033,0.93495,-0.136292,0.142483,45.157589,1.594291,-2.37422,0.222224,0.230009,0.050123
0.4,0.943695,-0.096364,0.182092,42.098034,-6.548243,15.934338,-0.200179,-0.228997,0.119458,0.936256,-0.136292,0.141711,45.008293,1.428446,-2.608358,-0.082612,0.169358,0.111124
0.41,0.943886,-0.096177,0.183413,42.098034,-6.548243,15.934338,-0.408438,-0.089967,0.119624,0.937562,-0.136483,0.141711,45.008293,1.428446,-2.608358,-0.326603,0.230558,0.110877
0.42,0.943503,-0.096364,0.184733,41.877739,-6.463882,16.161282,-0.546982,-0.368045,-0.089164,0.938494,-0.13801,0.14287,44.933643,1.511369,-2.686404,-0.448771,0.108727,0.293425
0.43,0.943312,-0.097674,0.185865,41.877739,-6.463882,16.161282,-0.477286,-0.298155,-0.089128,0.9398,-0.140109,0.143642,44.933643,1.511369,-2.686404,-0.448463,0.169625,0.110386
0.44,0.94312,-0.099545,0.186054,42.098034,-6.548243,16.009985,-0.26846,-0.228264,-0.019398,0.937748,-0.140109,0.14538,45.082939,1.760137,-2.452266,-0.448286,0.10867,-0.011811
0.45,0.941971,-0.099919,0.184544,42.098034,-6.548243,16.009985,0.149061,-0.088808,-0.018977,0.93495,-0.139536,0.147118,45.082939,1.760137,-2.452266,-0.143098,-0.013361,-0.134276
0.46,0.942929,-0.100106,0.180395,41.951172,-6.295161,16.236929,0.4273,0.050648,0.120317,0.933458,-0.139154,0.146731,45.306889,1.760137,-2.530312,0.222937,-0.318022,-0.07381
0.47,0.94178,-0.099732,0.179451,41.951172,-6.295161,16.236929,0.009437,0.050974,0.398612,0.934204,-0.1382,0.14538,45.306889,1.760137,-2.530312,0.405652,-0.318,-0.196137
0.48,0.944077,-0.098983,0.178508,41.951172,-6.463882,16.161282,0.42606,-0.087974,0.328826,0.93495,-0.139536,0.143642,45.232239,1.594291,-2.452266,0.527132,-0.257002,-0.196644
0.49,0.944077,-0.098048,0.179074,41.951172,-6.463882,16.161282,0.076871,-0.087792,0.119782,0.935323,-0.139345,0.143449,45.232239,1.594291,-2.452266,0.404709,-0.135028,-0.257991
